,Device 1
40749795,1546.0
40749796,1507.0
40749797,1544.0
40749798,1561.0
40749799,1519.0
40749800,1544.0
40749801,1554.0
40749802,1544.0
40749803,1507.0
40749804,1554.0
40749805,1555.0
40749806,1510.0
40749807,1544.0
40749808,1553.0
40749809,1539.0
40749810,1541.0
40749811,1554.0
40749812,1540.0
40749813,1552.0
40749814,1554.0
40749815,1555.0
40749816,1541.0
40749817,1554.0
40749818,1555.0
40749819,1521.0
40749820,1545.0
40749821,1555.0
40749822,1556.0
40749823,1521.0
40749824,1554.0
40749825,1556.0
40749826,1552.0
40749827,1517.0
40749828,1555.0
40749829,1567.0
40749830,1519.0
40749831,1563.0
40749832,1562.0
40749833,1555.0
40749834,1520.0
40749835,1563.0
40749836,1568.0
40749837,1564.0
40749838,1521.0
40749839,1556.0
40749840,1563.0
40749841,1545.0
40749842,1555.0
40749843,1568.0
40749844,1556.0
40749845,1555.0
40749846,1494.0
40749847,1553.0
40749848,1555.0
40749849,1564.0
40749850,1564.0
40749851,1564.0
40749852,1555.0
40749853,1564.0
40749854,1568.0
40749855,1575.0
40749856,1534.0
40749857,1564.0
40749858,1567.0
40749859,1579.0
40749860,1590.0
40749861,1590.0
40749862,1599.0
40749863,1564.0
40749864,1552.0
40749865,1563.0
40749866,1574.0
40749867,1599.0
40749868,1603.0
40749869,1609.0
40749870,1613.0
40749871,1613.0
40749872,1591.0
40749873,1567.0
40749874,1555.0
40749875,1599.0
40749876,1599.0
40749877,1599.0
40749878,1599.0
40749879,1599.0
40749880,1555.0
40749881,1545.0
40749882,1544.0
40749883,1546.0
40749884,1576.0
40749885,1576.0
40749886,1575.0
40749887,1575.0
40749888,1579.0
40749889,1576.0
40749890,1522.0
40749891,1530.0
40749892,1555.0
40749893,1556.0
40749894,1564.0
2779096485,9893.0
4208766,0.0
0,0.0
3225405762,51932.0
63,0.0
3288334336,165.0
66,0.0
40749896,1522.0
40749897,1522.0
40749898,1510.0
40749899,1553.0
40749900,1555.0
40749901,1522.0
40749902,1540.0
40749903,1545.0
40749904,1541.0
40749905,1541.0
40749906,1545.0
40749907,1542.0
40749908,1519.0
40749909,1542.0
40749910,1547.0
40749911,1519.0
40749912,1499.0
40749913,1540.0
40749914,1544.0
40749915,1532.0
40749916,1519.0
40749917,1542.0
40749918,1553.0
40749919,1507.0
40749920,1540.0
40749921,1544.0
40749922,1544.0
40749923,1500.0
40749924,1541.0
40749925,1553.0
40749926,1530.0
40749927,1516.0
40749928,1545.0
40749929,1554.0
40749930,1519.0
40749931,1541.0
40749932,1545.0
40749933,1547.0
40749934,1540.0
40749935,1552.0
40749936,1552.0
40749937,1508.0
40749938,1544.0
40749939,1555.0
40749940,1540.0
40749941,1541.0
40749942,1547.0
40749943,1552.0
40749944,1527.0
40749945,1545.0
40749946,1547.0
40749947,1487.0
40749948,1523.0
40749949,1541.0
40749950,1545.0
40749951,1552.0
40749952,1507.0
40749953,1546.0
40749954,1507.0
40749955,1541.0
40749956,1546.0
40749957,1544.0
40749958,1499.0
40749959,1533.0
40749960,1519.0
40749961,1553.0
40749962,1553.0
40749963,1555.0
40749964,1541.0
40749965,1510.0
40749966,1507.0
40749967,1496.0
40749968,1508.0
40749969,1533.0
40749970,1534.0
40749971,1532.0
40749972,1534.0
40749973,1530.0
40749974,1530.0
40749975,1498.0
40749976,1482.0
40749977,1471.0
40749978,1470.0
40749979,1498.0
40749980,1494.0
40749981,1507.0
40749982,1501.0
40749983,1508.0
40749984,1518.0
40749985,1508.0
40749986,1507.0
40749987,1510.0
40749988,1531.0
40749989,1563.0
40749990,1625.0
40749991,1647.0
40749992,1679.0
40749993,1725.0
40749994,1774.0
40749995,1818.0
40749998,1978.0
40749999,2002.0
40750000,2055.0
40750001,2110.0
40750002,2143.0
40750003,2165.0
40750004,2211.0
40750005,2256.0
40750006,2278.0
40750007,2300.0
40750008,2321.0
40750009,2326.0
40750010,2281.0
40750011,2314.0
40750012,2303.0
40750013,2268.0
40750014,2238.0
40750015,2248.0
40750016,2228.0
40750017,2159.0
40750018,2126.0
40750019,2089.0
40750020,2045.0
40750021,1956.0
40750022,1942.0
40750023,1905.0
40750024,1839.0
40750025,1775.0
40750026,1757.0
40750027,1722.0
40750028,1644.0
40750029,1637.0
40750030,1599.0
40750031,1555.0
